127.0.0.1 - - [01/Jul/2021:11:50:01 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:08:01 +0900] "GET /BootstrapWork/BootEx01.html HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:13:43 +0900] "GET /BootstrapWork/BootEx01.html HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:13:43 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:13:43 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 200 35452
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:30:58 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:31:51 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 200 2241
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:03 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:04 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:04 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:04 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:04 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:41 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:42 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:32:42 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:17 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 200 3428
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:17 +0900] "GET /BootstrapWork/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:34:17 +0900] "GET /BootstrapWork/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:35:39 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:35:52 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [01/Jul/2021:12:35:52 +0900] "GET /BootstrapWork/BootEx02.html HTTP/1.1" 304 -
